Response ID,Age Group,Gender,Industry,Years of Experience,Current Work Arrangement,Have you ever experienced working from home?,Do you think that working from home increases your work productivity?,Do you think that working from home prevents you from going out?,Do you think that working from home gives you more flexibility?,Do you think that working from home saves you more time?,"Which work type has the potential to cause you physical problems, such as the neck, back, and leg pain?","Which work type has the potential to cause mental disorders, such as stress, anxiety, and depression?",Do you think that working from home prevents you from getting in contact with people?,Which work type keeps you focused while working?,Which work type do you prefer the most?
194,45–54,Non-binary/Other,Technology,11–20 years,Fully In-Office,Yes,No,Yes,Yes,No,Working in an office,Working in an office,Yes,Working from home,Working in an office
195,25–34,Female,Finance,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
196,25–34,Male,Government,6–10 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
197,35–44,Male,Technology,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working in an office
198,45–54,Female,Finance,0–2 years,Fully In-Office,No,Yes,Yes,No,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
199,25–34,Male,Healthcare,3–5 years,Fully Remote,No,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
200,25–34,Female,Retail/Hospitality,20+ years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
201,45–54,Female,Technology,11–20 years,Fully Remote,Yes,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
202,55+,Female,Other,20+ years,Fully In-Office,Yes,No,Yes,No,No,Working in an office,Working from home,Yes,Working from home,Working in an office
203,35–44,Female,Other,20+ years,Fully Remote,No,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
204,25–34,Female,Technology,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,A mixed mode of working
205,18–24,Male,Healthcare,20+ years,Fully In-Office,No,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
206,25–34,Male,Finance,6–10 years,Fully In-Office,No,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
207,18–24,Female,Retail/Hospitality,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working from home,A mixed mode of working
208,35–44,Female,Education,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,A mixed mode of working
209,18–24,Male,Technology,0–2 years,Hybrid,No,No,No,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
210,35–44,Male,Technology,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
211,35–44,Female,Other,6–10 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,Working in an office
212,35–44,Female,Education,11–20 years,Hybrid,No,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
213,25–34,Female,Other,11–20 years,Hybrid,Yes,Yes,No,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working in an office
214,45–54,Male,Education,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
215,35–44,Male,Other,3–5 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
216,35–44,Female,Technology,11–20 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working in an office,No,Working from home,Working from home
217,18–24,Male,Technology,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
218,18–24,Female,Other,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,Working from home
219,55+,Female,Other,3–5 years,Fully In-Office,Yes,No,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
220,25–34,Male,Healthcare,3–5 years,Fully In-Office,No,Yes,Yes,Yes,No,Working in an office,Working from home,No,Working in an office,A mixed mode of working
221,25–34,Male,Healthcare,3–5 years,Fully Remote,Yes,Yes,Yes,No,No,Working from home,Working from home,Yes,Working from home,Working in an office
222,35–44,Male,Education,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
223,35–44,Female,Education,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
224,55+,Female,Technology,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
225,25–34,Male,Other,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working in an office,Working in an office,Yes,Working in an office,Working in an office
226,55+,Female,Healthcare,11–20 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
227,18–24,Male,Retail/Hospitality,11–20 years,Hybrid,No,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
228,35–44,Male,Technology,3–5 years,Fully Remote,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
229,35–44,Female,Technology,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working from home
230,18–24,Male,Retail/Hospitality,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
231,25–34,Male,Healthcare,6–10 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working from home,No,Working from home,Working in an office
232,25–34,Female,Retail/Hospitality,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working from home,Working from home
233,55+,Male,Technology,6–10 years,Fully In-Office,Yes,Yes,Yes,No,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
234,35–44,Female,Other,0–2 years,Fully In-Office,Yes,No,Yes,Yes,No,Working in an office,Working in an office,Yes,Working from home,A mixed mode of working
235,55+,Male,Retail/Hospitality,3–5 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
236,45–54,Male,Other,0–2 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working in an office
237,35–44,Male,Technology,20+ years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,No,Working in an office,A mixed mode of working
238,45–54,Male,Healthcare,3–5 years,Fully In-Office,No,No,Yes,No,No,Working from home,Working from home,No,Working in an office,Working in an office
239,18–24,Male,Healthcare,6–10 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working in an office
240,18–24,Male,Finance,3–5 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
241,45–54,Female,Healthcare,20+ years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
242,45–54,Male,Technology,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working from home,No,Working in an office,Working in an office
243,25–34,Male,Healthcare,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
244,35–44,Male,Healthcare,3–5 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
245,35–44,Male,Education,0–2 years,Fully In-Office,No,No,No,Yes,Yes,Working in an office,Working in an office,Yes,Working in an office,Working in an office
246,45–54,Male,Technology,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
247,35–44,Female,Healthcare,3–5 years,Fully In-Office,No,No,Yes,No,No,Working from home,Working from home,Yes,Working in an office,Working in an office
248,25–34,Male,Retail/Hospitality,11–20 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
249,25–34,Female,Education,20+ years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
250,25–34,Female,Healthcare,6–10 years,Fully In-Office,No,No,No,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
251,35–44,Male,Finance,20+ years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
252,45–54,Male,Government,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working from home
253,25–34,Male,Education,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,Working from home
254,25–34,Female,Finance,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,No,Working from home,Working in an office
255,25–34,Male,Other,0–2 years,Fully In-Office,No,Yes,Yes,No,No,Working from home,Working from home,Yes,Working from home,Working from home
256,45–54,Female,Finance,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
257,45–54,Female,Other,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
258,18–24,Female,Government,3–5 years,Hybrid,Yes,No,Yes,Yes,Yes,Working in an office,Working in an office,Yes,Working from home,A mixed mode of working
259,18–24,Female,Technology,6–10 years,Fully In-Office,Yes,No,Yes,No,No,Working from home,Working from home,No,Working in an office,Working in an office
260,35–44,Non-binary/Other,Education,0–2 years,Fully Remote,Yes,No,Yes,Yes,No,Working in an office,Working from home,Yes,Working from home,Working in an office
261,25–34,Male,Retail/Hospitality,0–2 years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,A mixed mode of working
262,45–54,Male,Other,11–20 years,Fully In-Office,No,No,No,Yes,No,Working in an office,Working from home,No,Working in an office,A mixed mode of working
263,25–34,Male,Education,0–2 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working from home,A mixed mode of working
264,25–34,Female,Technology,6–10 years,Fully In-Office,No,No,No,Yes,Yes,Working from home,Working from home,No,Working in an office,Working in an office
265,55+,Female,Finance,3–5 years,Fully In-Office,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
266,25–34,Female,Technology,3–5 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working from home,A mixed mode of working
267,25–34,Male,Government,3–5 years,Hybrid,Yes,No,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
268,25–34,Non-binary/Other,Finance,11–20 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
269,18–24,Female,Retail/Hospitality,20+ years,Fully In-Office,No,No,Yes,No,Yes,Working in an office,Working in an office,No,Working in an office,Working in an office
270,18–24,Female,Other,3–5 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,Working in an office
271,18–24,Non-binary/Other,Retail/Hospitality,20+ years,Fully In-Office,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
272,25–34,Male,Finance,6–10 years,Hybrid,Yes,No,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,A mixed mode of working
273,18–24,Male,Government,11–20 years,Fully In-Office,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
274,35–44,Female,Government,11–20 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
275,35–44,Male,Other,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
276,25–34,Male,Technology,11–20 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working in an office,Working from home,Yes,Working from home,Working in an office
277,25–34,Male,Finance,6–10 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
278,35–44,Male,Technology,6–10 years,Fully In-Office,Yes,Yes,Yes,No,No,Working from home,Working from home,No,Working from home,A mixed mode of working
279,45–54,Female,Other,3–5 years,Hybrid,No,Yes,Yes,Yes,Yes,Working in an office,Working in an office,No,Working in an office,Working in an office
280,45–54,Female,Retail/Hospitality,0–2 years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working from home,No,Working in an office,Working in an office
281,18–24,Male,Education,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working from home
282,25–34,Male,Technology,0–2 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
283,25–34,Male,Healthcare,3–5 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
284,25–34,Female,Retail/Hospitality,0–2 years,Fully Remote,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
285,35–44,Female,Technology,3–5 years,Fully In-Office,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
286,25–34,Female,Technology,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
287,18–24,Male,Other,11–20 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
288,25–34,Male,Government,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
289,35–44,Male,Technology,0–2 years,Fully In-Office,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
290,18–24,Female,Healthcare,6–10 years,Hybrid,Yes,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
291,45–54,Male,Other,6–10 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
292,18–24,Female,Retail/Hospitality,11–20 years,Fully Remote,No,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working from home
293,55+,Female,Finance,6–10 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
294,18–24,Male,Healthcare,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
295,45–54,Male,Healthcare,6–10 years,Fully In-Office,Yes,No,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
296,45–54,Male,Technology,20+ years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
297,55+,Male,Retail/Hospitality,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,No,Working from home,Working in an office
298,45–54,Male,Technology,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,No,Working in an office,A mixed mode of working
299,45–54,Female,Technology,6–10 years,Hybrid,Yes,No,No,No,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
300,35–44,Male,Retail/Hospitality,0–2 years,Fully In-Office,No,No,Yes,No,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
301,45–54,Male,Other,20+ years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
302,18–24,Female,Government,3–5 years,Fully In-Office,No,No,No,Yes,Yes,Working from home,Working in an office,No,Working in an office,A mixed mode of working
303,35–44,Female,Education,3–5 years,Fully In-Office,Yes,Yes,No,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
304,35–44,Male,Education,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
305,45–54,Female,Education,11–20 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
306,35–44,Female,Healthcare,0–2 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
307,25–34,Female,Finance,0–2 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
308,35–44,Female,Education,0–2 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
309,25–34,Male,Finance,6–10 years,Fully In-Office,Yes,No,Yes,Yes,Yes,Working in an office,Working in an office,Yes,Working in an office,Working in an office
310,18–24,Female,Other,0–2 years,Hybrid,Yes,Yes,Yes,No,Yes,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
311,35–44,Male,Other,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
312,25–34,Female,Technology,20+ years,Fully In-Office,Yes,Yes,No,Yes,Yes,Working in an office,Working in an office,Yes,Working in an office,A mixed mode of working
313,25–34,Female,Education,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
314,25–34,Male,Technology,6–10 years,Fully In-Office,No,No,No,No,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
315,25–34,Male,Healthcare,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
316,25–34,Female,Healthcare,0–2 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working from home,Working in an office
317,25–34,Female,Technology,11–20 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,No,Working from home,Working in an office
318,35–44,Male,Government,0–2 years,Fully In-Office,No,No,Yes,Yes,Yes,Working in an office,Working in an office,No,Working in an office,Working in an office
319,25–34,Female,Education,0–2 years,Fully In-Office,Yes,No,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
320,55+,Female,Other,3–5 years,Hybrid,Yes,No,Yes,No,No,Working from home,Working from home,Yes,Working in an office,Working in an office
321,55+,Female,Technology,0–2 years,Fully In-Office,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
322,35–44,Male,Technology,6–10 years,Hybrid,Yes,No,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
323,25–34,Male,Education,11–20 years,Hybrid,Yes,No,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
324,35–44,Female,Technology,11–20 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working from home
325,45–54,Male,Healthcare,6–10 years,Fully Remote,Yes,No,No,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
326,35–44,Female,Other,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
327,45–54,Male,Technology,6–10 years,Fully Remote,Yes,Yes,No,No,No,Working in an office,Working in an office,Yes,Working in an office,Working from home
328,35–44,Female,Technology,11–20 years,Fully In-Office,No,Yes,No,Yes,Yes,Working from home,Working from home,No,Working in an office,Working in an office
329,35–44,Male,Finance,6–10 years,Fully In-Office,No,No,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,Working in an office
330,25–34,Male,Education,3–5 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
331,35–44,Female,Finance,20+ years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
332,25–34,Female,Education,3–5 years,Fully In-Office,No,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working in an office,Working in an office
333,35–44,Female,Government,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
334,45–54,Female,Technology,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
335,18–24,Female,Education,6–10 years,Fully In-Office,Yes,No,No,Yes,No,Working from home,Working in an office,Yes,Working from home,Working from home
336,35–44,Female,Retail/Hospitality,6–10 years,Fully Remote,No,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
337,18–24,Male,Other,6–10 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,Working from home
338,35–44,Female,Healthcare,20+ years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working from home,Working in an office
339,18–24,Female,Finance,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
340,55+,Male,Technology,6–10 years,Fully In-Office,No,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,A mixed mode of working
341,18–24,Male,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
342,55+,Female,Technology,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working in an office,Working in an office,Yes,Working from home,Working from home
343,45–54,Female,Retail/Hospitality,3–5 years,Hybrid,Yes,No,Yes,No,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
344,35–44,Female,Healthcare,0–2 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
345,45–54,Non-binary/Other,Retail/Hospitality,6–10 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
346,45–54,Female,Technology,11–20 years,Fully In-Office,No,Yes,Yes,No,Yes,Working from home,Working in an office,No,Working in an office,Working in an office
347,55+,Male,Other,11–20 years,Fully In-Office,No,No,No,No,No,Working from home,Working from home,Yes,Working in an office,Working in an office
348,25–34,Male,Government,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
349,35–44,Male,Technology,11–20 years,Hybrid,Yes,Yes,No,Yes,No,Working in an office,Working in an office,Yes,Working in an office,A mixed mode of working
350,18–24,Male,Technology,6–10 years,Fully In-Office,Yes,No,Yes,No,No,Working from home,Working from home,No,Working in an office,Working from home
351,35–44,Female,Technology,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
352,25–34,Female,Other,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,Working from home
353,35–44,Male,Healthcare,0–2 years,Hybrid,No,Yes,No,Yes,Yes,Working in an office,Working in an office,Yes,Working in an office,Working in an office
354,35–44,Male,Finance,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,Working from home
355,35–44,Female,Education,6–10 years,Fully In-Office,Yes,Yes,Yes,No,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
356,35–44,Male,Government,6–10 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
357,45–54,Female,Education,6–10 years,Fully In-Office,Yes,Yes,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
358,45–54,Male,Finance,6–10 years,Hybrid,Yes,No,No,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
359,35–44,Female,Other,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
360,35–44,Male,Technology,11–20 years,Fully In-Office,No,Yes,No,Yes,Yes,Working in an office,Working in an office,No,Working in an office,Working in an office
361,55+,Female,Government,3–5 years,Fully Remote,Yes,Yes,Yes,No,No,Working from home,Working from home,Yes,Working from home,Working from home
362,18–24,Male,Technology,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
363,18–24,Female,Education,6–10 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,A mixed mode of working
364,18–24,Male,Other,6–10 years,Fully In-Office,No,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
365,35–44,Male,Retail/Hospitality,3–5 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
366,25–34,Female,Retail/Hospitality,3–5 years,Fully Remote,Yes,No,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
367,45–54,Male,Healthcare,11–20 years,Hybrid,Yes,Yes,No,No,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
368,35–44,Male,Education,11–20 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
369,25–34,Male,Healthcare,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
370,45–54,Male,Finance,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
371,45–54,Male,Education,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
372,25–34,Female,Healthcare,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
373,25–34,Male,Healthcare,11–20 years,Hybrid,No,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working from home,Working in an office
374,25–34,Female,Healthcare,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
375,25–34,Non-binary/Other,Healthcare,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
376,25–34,Male,Technology,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
377,55+,Female,Other,0–2 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,Working in an office
378,25–34,Female,Finance,20+ years,Fully Remote,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
379,25–34,Female,Technology,6–10 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
380,35–44,Male,Retail/Hospitality,20+ years,Fully Remote,No,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
381,35–44,Male,Government,3–5 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
382,55+,Male,Healthcare,11–20 years,Hybrid,No,No,Yes,No,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
383,45–54,Female,Technology,20+ years,Fully Remote,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,No,Working from home,A mixed mode of working
384,35–44,Non-binary/Other,Technology,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,A mixed mode of working
385,25–34,Female,Technology,3–5 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
386,55+,Male,Government,11–20 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,Working in an office
387,35–44,Female,Other,6–10 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
388,55+,Male,Technology,20+ years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,Working in an office
389,18–24,Female,Retail/Hospitality,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,No,Working in an office,Working from home
